,consumed_rate,generated_rate,marginal_rate
2019-01-05 13:15:00,599.9891976,520.4034204,122.2846237
2019-01-05 13:30:00,599.9891976,516.7070929,502.6523461
2019-01-05 13:45:00,599.9891976,517.0497204,700.5889899
2019-01-05 14:00:00,583.0568788,515.0945274,525.8661961
2019-01-05 14:15:00,583.0568788,504.8011578,487.0429017
2019-01-05 14:30:00,583.0568788,503.7419609,659.3097261
2019-01-05 14:45:00,583.0568788,506.4947548,562.3753926
2019-01-05 15:00:00,579.0739736,509.3729877,527.1464607
2019-01-05 15:15:00,579.0739736,506.6196132,174.5780069
2019-01-05 15:30:00,579.0739736,515.7367965,571.2408005
2019-01-05 15:45:00,579.0739736,514.9621891,420.353394
2019-01-05 16:00:00,563.1049849,498.021703,479.787257
2019-01-05 16:15:00,563.1049849,490.2335382,700.5889899
2019-01-05 16:30:00,563.1049849,487.2801216,307.5912395
